"";"CIRCOSCRIZIONE";"COLLEGIOPLURINOMINALE"
"85081";"ABRUZZO";"ABRUZZO - 01"
"87937";"ABRUZZO";"ABRUZZO - 02"
"133159";"AOSTA";""
"106798";"BASILICATA";"BASILICATA - 01"
"109287";"CALABRIA";"CALABRIA - 01"
"112923";"CALABRIA";"CALABRIA - 02"
"92578";"CAMPANIA 1";"CAMPANIA 1 - 01"
"93178";"CAMPANIA 1";"CAMPANIA 1 - 02"
"93242";"CAMPANIA 1";"CAMPANIA 1 - 03"
"94058";"CAMPANIA 2";"CAMPANIA 2 - 01"
"97712";"CAMPANIA 2";"CAMPANIA 2 - 02"
"99584";"CAMPANIA 2";"CAMPANIA 2 - 03"
"63368";"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01"
"64609";"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02"
"65729";"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 03"
"66681";"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 04"
"54390";"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01"
"78463";"LAZIO 1";"LAZIO 1 - 01"
"78558";"LAZIO 1";"LAZIO 1 - 02"
"78672";"LAZIO 1";"LAZIO 1 - 03"
"80100";"LAZIO 2";"LAZIO 2 - 01"
"82973";"LAZIO 2";"LAZIO 2 - 02"
"59120";"LIGURIA";"LIGURIA - 01"
"61784";"LIGURIA";"LIGURIA - 02"
"17682";"LOMBARDIA 1";"LOMBARDIA 1 - 01"
"18774";"LOMBARDIA 1";"LOMBARDIA 1 - 02"
"19382";"LOMBARDIA 1";"LOMBARDIA 1 - 03"
"19466";"LOMBARDIA 1";"LOMBARDIA 1 - 04"
"20591";"LOMBARDIA 2";"LOMBARDIA 2 - 01"
"23232";"LOMBARDIA 2";"LOMBARDIA 2 - 02"
"30172";"LOMBARDIA 3";"LOMBARDIA 3 - 01"
"33178";"LOMBARDIA 3";"LOMBARDIA 3 - 02"
"36938";"LOMBARDIA 4";"LOMBARDIA 4 - 01"
"41341";"LOMBARDIA 4";"LOMBARDIA 4 - 02"
"74879";"MARCHE";"MARCHE - 01"
"76966";"MARCHE";"MARCHE - 02"
"90266";"MOLISE";"MOLISE - 01"
"1";"PIEMONTE 1";"PIEMONTE 1 - 01"
"265";"PIEMONTE 1";"PIEMONTE 1 - 02"
"142";"PIEMONTE 2";"PIEMONTE 2 - 01"
"11877";"PIEMONTE 2";"PIEMONTE 2 - 02"
"102302";"PUGLIA";"PUGLIA - 01"
"102798";"PUGLIA";"PUGLIA - 02"
"104868";"PUGLIA";"PUGLIA - 03"
"105678";"PUGLIA";"PUGLIA - 04"
"122747";"SARDEGNA";"SARDEGNA - 01"
"125467";"SARDEGNA";"SARDEGNA - 02"
"116577";"SICILIA 1";"SICILIA 1 - 01"
"116689";"SICILIA 1";"SICILIA 1 - 02"
"118115";"SICILIA 1";"SICILIA 1 - 03"
"119160";"SICILIA 2";"SICILIA 2 - 01"
"121208";"SICILIA 2";"SICILIA 2 - 02"
"121854";"SICILIA 2";"SICILIA 2 - 03"
"68942";"TOSCANA";"TOSCANA - 01"
"70082";"TOSCANA";"TOSCANA - 02"
"70978";"TOSCANA";"TOSCANA - 03"
"71623";"TOSCANA";"TOSCANA - 04"
"128779";"TRENTINO-ALTO ADIGE/S_DTIROL";"TRENTINO-ALTO ADIGE/S_DTIROL - 01"
"73223";"UMBRIA";"UMBRIA - 01"
"44206";"VENETO 1";"VENETO 1 - 01"
"45196";"VENETO 1";"VENETO 1 - 02"
"47842";"VENETO 2";"VENETO 2 - 01"
"49714";"VENETO 2";"VENETO 2 - 02"
"51874";"VENETO 2";"VENETO 2 - 03"
