LISTA;COALIZIONE;MINORANZE
+EUROPA;SX;0
10 VOLTE MEGLIO;10 VOLTE MEGLIO;0
AUTODETERMINATZIONE;AUTODETERMINATZIONE;0
BLOCCO NAZIONALE PER LE LIBERTA';BLOCCO NAZIONALE PER LE LIBERTA';0
CASAPOUND ITALIA;CASAPOUND ITALIA;0
CIVICA POPOLARE LORENZIN;SX;0
FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA;FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA;0
FORZA ITALIA;DX;0
FRATELLI D'ITALIA CON GIORGIA MELONI;DX;0
GRANDE NORD;GRANDE NORD;0
IL POPOLO DELLA FAMIGLIA;IL POPOLO DELLA FAMIGLIA;0
ITALIA AGLI ITALIANI;ITALIA AGLI ITALIANI;0
ITALIA EUROPA INSIEME;SX;0
ITALIA NEL CUORE;ITALIA NEL CUORE;0
LEGA;DX;0
LIBERI E UGUALI;LIBERI E UGUALI;0
LISTA DEL POPOLO PER LA COSTITUZIONE;LISTA DEL POPOLO PER LA COSTITUZIONE;0
MOVIMENTO 5 STELLE;MOVIMENTO 5 STELLE;0
NOI CON L'ITALIA - UDC;DX;0
PARTITO COMUNISTA;PARTITO COMUNISTA;0
PARTITO DEMOCRATICO;SX;0
PARTITO REPUBBLICANO ITALIANO - ALA;PARTITO REPUBBLICANO ITALIANO - ALA;0
PARTITO VALORE UMANO;PARTITO VALORE UMANO;0
PATTO PER L'AUTONOMIA;PATTO PER L'AUTONOMIA;0
PD-UV-UVP-EPAV;PD-UV-UVP-EPAV;0
PER UNA SINISTRA RIVOLUZIONARIA;PER UNA SINISTRA RIVOLUZIONARIA;0
POTERE AL POPOLO!;POTERE AL POPOLO!;0
POUR TOUS PER TUTTI PE TCHEUT;POUR TOUS PER TUTTI PE TCHEUT;0
RINASCIMENTO MIR;RINASCIMENTO MIR;0
RISPOSTA CIVICA;RISPOSTA CIVICA;0
SIAMO;SIAMO;0
SVP - PATT;SX;1
